sample_uid,observation_uid,tag_id,camera_role,sample_observation_count,retained_observation_count,candidate_fit_success,current_stage5_rejected,current_stage5_survived,gt_distance_error_m,gt_abs_distance_error_m,gt_angle_error_deg,gt_abs_angle_error_deg,gt_distance_villain_gt8cm,gt_angle_villain_gt8deg,gt_any_da_villain,holdout_fit_x_m,holdout_fit_y_m,holdout_fit_heading_deg,heldout_predicted_distance_m,heldout_distance_residual_m,heldout_normalized_distance_residual,heldout_predicted_angle_deg,heldout_angle_residual_deg,heldout_normalized_angle_residual,heldout_H_score,retained_C_rms,retained_C_max,H_over_C,H_minus_C,H_over_1plus_C,sample_rank_heldout_H_score,sample_rank_H_over_C,sample_rank_H_minus_C,sample_rank_H_over_1plus_C,global_rank_heldout_H_score,global_percentile_heldout_H_score,global_rank_H_over_C,global_percentile_H_over_C,global_rank_H_minus_C,global_percentile_H_minus_C,global_rank_H_over_1plus_C,global_percentile_H_over_1plus_C
main29_s010,main29_s010_o061,46,front,3,2,True,N,Y,-0.011,0.011,2.2,2.2,N,N,N,3.9288544909301875,2.966648882636365,255.7065702767643,3.0942851525526995,-0.04871484744730026,-0.9742969489460052,10.310321212510871,2.710321212510877,1.0841284850043507,1.030676747754436,0.43884103370655053,0.4448388474918864,2.348633488188439,0.5918357140478856,0.716324266273769,3,2,2,3,60,0.6958762886597938,42,0.788659793814433,45,0.7731958762886598,48,0.7577319587628866
main29_s026,main29_s026_o160,55,front,3,2,True,N,Y,0.02,0.02,2.0,2.0,N,N,N,9.081305797401834,0.9636420952337531,48.5871995117746,1.4061143019404885,-0.0718856980595115,-1.43771396119023,17.353621528945695,-1.1463784710543052,-0.4585513884217221,1.0670732894287982,0.4929675329588842,0.5078091343448592,2.1645914144163267,0.574105756469914,0.7147330841910444,2,3,3,2,54,0.7268041237113403,46,0.768041237113402,48,0.7577319587628866,49,0.7525773195876289
main29_s029,main29_s029_o175,50,front,5,4,True,N,Y,-0.006,0.006,1.0,1.0,N,N,N,9.08574511660257,4.030240228231446,246.49246047301696,4.54841155639495,0.08041155639495035,1.608231127899007,12.2331380044875,1.2331380044875004,0.49325520179500015,1.1894763669029196,0.6647437019005515,0.9084588733486396,1.7893759105985034,0.524732665002368,0.7145102069135063,1,2,2,2,40,0.7989690721649485,63,0.6804123711340206,56,0.7164948453608248,50,0.7474226804123711
main29_s001,main29_s001_o004,38,front,5,4,True,N,Y,-0.099,0.099,-0.2,0.2,Y,N,Y,2.0206235105229,0.9948831924888563,59.54915386947755,4.190805469908422,0.10080546990842176,2.0161093981684353,-22.419709984278654,-0.5197099842786486,-0.20788399371145944,1.4331630856648025,1.0080758810337165,1.6350336180300677,1.4216817529600914,0.42508720463108607,0.7136996660340542,3,3,3,3,20,0.9020618556701031,83,0.5773195876288659,65,0.6701030927835052,51,0.7422680412371134
main29_s020,main29_s020_o127,50,front,6,5,True,N,Y,0.029,0.029,-0.5,0.5,N,N,N,7.021888431117103,2.958759677040789,251.12045590927488,2.685927318205756,-0.06507268179424397,-1.3014536358848794,-6.035168218248373,2.2648317817516386,0.9059327127006555,1.1212706288624394,0.5765620039992541,0.779634910153788,1.9447528992283198,0.5447086248631854,0.7112125155992088,1,1,1,1,48,0.7577319587628866,54,0.7268041237113403,52,0.7371134020618557,52,0.7371134020618557
main29_s020,main29_s020_o128,51,front,6,5,True,N,Y,-0.038,0.038,5.3,5.3,N,N,N,6.987587899926893,2.9848734672680477,250.39503427555107,2.557345006413291,0.02534500641329096,0.5069001282658192,-31.540026671362114,-5.240026671362102,-1.482103357167406,1.1076050969011473,0.5706658445935523,0.7394780248137937,1.9408995779132734,0.536939252307595,0.7051818823931749,2,2,2,2,50,0.7474226804123711,55,0.7216494845360825,54,0.7268041237113403,53,0.731958762886598
repeat10_s006,repeat10_s006_o035,38,front,6,5,True,N,Y,0.01,0.01,-1.1,1.1,N,N,N,4.915543636260433,2.0183579931382924,114.95213851757646,3.8546179872534005,-0.07538201274659961,-1.5076402549319923,-10.913001494599541,1.88699850540047,0.754799402160188,1.1922041091593292,0.7150081345242087,1.2400511399492073,1.6673993645578078,0.4771959746351204,0.6951594486110586,2,2,2,2,39,0.8041237113402062,71,0.6391752577319587,60,0.6958762886597938,54,0.7268041237113403
main29_s026,main29_s026_o161,56,front,3,2,True,N,Y,-0.004,0.004,-0.2,0.2,N,N,N,8.982255385044057,1.0008961750216838,47.37053809931049,2.1480571931968386,0.014057193196838735,0.2811438639367747,-5.369759768556094,3.030240231443912,1.2120960925775648,0.8798348736754812,0.2689945567334628,0.29209616340063815,3.2708277980036544,0.6108403169420185,0.6933322676657312,3,2,2,3,78,0.6030927835051547,24,0.8814432989690721,43,0.7835051546391752,55,0.7216494845360825
main29_s023,main29_s023_o146,52,rear,5,4,True,N,Y,-0.015,0.015,0.0,0.0,N,N,N,7.98077885870111,2.039925674043773,110.91370600759183,1.770957531957766,0.058957531957765985,1.1791506391553197,2.975163783920607,0.7751637839206182,0.3100655135682473,0.8621301678182767,0.26780520906255345,0.33248501798821967,3.2192434599616093,0.5943249587557232,0.6800178463186446,1,1,1,1,80,0.5927835051546392,25,0.8762886597938144,44,0.7783505154639175,56,0.7164948453608248
main29_s015,main29_s015_o100,35,rear,5,4,True,N,Y,-0.032,0.032,-0.2,0.2,N,N,N,5.025511199356381,3.9504886220473616,245.20919365869452,1.2514719727646115,0.06947197276461159,1.3894394552922318,-4.448791971032051,-1.5487919710320455,-0.6195167884128182,1.0757190737009608,0.5944966394411072,0.9835078762758562,1.8094619924382684,0.48122243425985356,0.6746449299999874,2,2,2,2,53,0.731958762886598,62,0.6855670103092784,59,0.7010309278350515,57,0.711340206185567
main29_s020,main29_s020_o125,48,front,6,5,True,N,Y,-0.061,0.061,2.0,2.0,N,N,N,7.037548078439564,2.980183056540237,250.3632095497357,3.7742640476713305,0.07126404767133065,1.425280953426613,21.825964673572344,-0.9740353264276678,-0.3896141305710671,1.0448026050267398,0.6074800587164869,0.8526020592248712,1.7198961349188138,0.4373225463102529,0.649963027137628,3,3,3,3,56,0.7164948453608248,66,0.6649484536082475,63,0.6804123711340206,58,0.7061855670103092
main29_s011,main29_s011_o066,43,front,5,4,True,N,Y,0.011,0.011,-1.0,1.0,N,N,N,4.027510186649356,3.921634549500568,220.78660259671136,3.504791421220722,-0.0382085787792783,-0.764171575585566,2.974296150065925,3.074296150065919,1.2297184600263678,1.0237591728191127,0.5754358091086191,0.7583849625855744,1.779102302314085,0.4483233637104935,0.6498260144273064,3,3,3,3,61,0.6907216494845361,65,0.6701030927835052,62,0.6855670103092784,59,0.7010309278350515
repeat10_s009,repeat10_s009_o056,55,front,4,3,True,N,Y,-0.027,0.027,0.1,0.1,N,N,N,7.101021482359747,0.937812138432571,26.113805168757324,3.262249342796636,-0.0577506572033637,-1.155013144067274,12.4254790136103,-0.47452098638970597,-0.1898083945558824,0.8276722145910332,0.2771720102481511,0.32766244027943014,2.9861320190665044,0.5505002043428822,0.6480506994748646,1,2,2,1,85,0.5670103092783505,31,0.845360824742268,51,0.7422680412371134,60,0.6958762886597938
repeat10_s009,repeat10_s009_o054,31,front,4,3,True,N,Y,-0.018,0.018,0.6,0.6,N,N,N,7.015815927236164,1.069424520398338,23.571745206181298,4.116319377443569,-0.042680622556431125,-0.8536124511286225,-21.446048468310323,-1.5460484683103175,-0.618419387324127,0.7453511774124206,0.16721226671722242,0.23104921831598846,4.457514942207595,0.5781389106951982,0.6385738041536493,2,1,1,2,98,0.5,14,0.9329896907216495,47,0.7628865979381443,61,0.6907216494845361
repeat10_s004,repeat10_s004_o017,42,front,5,4,True,N,Y,0.074,0.074,-1.9,1.9,N,N,N,4.02057255714752,3.970726561598987,218.72479092746784,3.004766004771904,-0.06723399522809625,-1.344679904561925,15.470500530695404,1.270500530695415,0.5082002122781659,1.0164722085458708,0.5940090312835468,0.924511813128965,1.7112066568238147,0.4224631772623241,0.6376828415629334,3,3,3,3,62,0.6855670103092784,68,0.654639175257732,66,0.6649484536082475,62,0.6855670103092784
main29_s018,main29_s018_o114,31,front,4,3,True,N,Y,-0.105,0.105,2.1,2.1,Y,N,Y,7.006609839862716,1.068274509462807,25.69809864499905,4.122936626178084,0.05193662617808403,1.0387325235616807,-19.213911983659187,-0.8139119836591817,-0.3255647934636727,0.7697264742257023,0.21026236253107844,0.265114476269413,3.6607905711700095,0.5594641116946238,0.635999679124068,1,1,1,1,93,0.5257731958762887,19,0.9072164948453608,49,0.7525773195876289,63,0.6804123711340206
main29_s007,main29_s007_o045,49,front,6,5,True,N,Y,0.055,0.055,-1.5,1.5,N,N,N,2.938387467046231,4.006623409168138,275.95037974882456,4.600770923677244,-0.014229076322756384,-0.23809798747505484,-27.20048880753052,-3.200488807530519,-1.2801955230122075,0.9207581736754149,0.4679289327475978,0.6913622249308361,1.967730801061781,0.4528292409278171,0.6272498301072278,2,2,2,2,76,0.6134020618556701,53,0.731958762886598,61,0.6907216494845361,64,0.6752577319587629
repeat10_s004,repeat10_s004_o018,43,front,5,4,True,N,Y,0.005,0.005,-3.3,3.3,N,N,N,4.058576390033469,3.957915567494688,219.0462456205641,3.551534093888281,0.014534093888280974,0.2906818777656195,1.0518602850088428,3.4518602850088485,1.3807441140035395,0.9977350004928077,0.5988759555751635,0.7938355148358646,1.666012788131689,0.39885904491764423,0.6240227686292853,4,4,4,4,65,0.6701030927835052,72,0.634020618556701,67,0.6597938144329897,65,0.6701030927835052
main29_s003,main29_s003_o015,45,front,7,6,True,N,Y,-0.019,0.019,-5.1,5.1,N,N,N,1.9992411749614185,2.9885438844771572,263.5955765258953,2.851573695657316,0.007573695657316026,0.15147391314632053,-0.01970273427025404,3.6802972657297346,1.4721189062918938,1.0464412120673336,0.6864596010266666,1.3413285271093986,1.5244031994050047,0.35998161104066706,0.6204958668623258,2,2,2,2,55,0.7216494845360825,81,0.5876288659793815,70,0.6443298969072164,66,0.6649484536082475
main29_s008,main29_s008_o049,39,front,5,4,True,N,Y,-0.044,0.044,0.8,0.8,N,N,N,3.9616030282781156,0.9540246798469361,117.34258704054612,4.762404568990467,0.06640456899046754,1.1111609690709683,-1.0605050213942206,2.2394949786057907,0.8957979914423163,1.009240491820166,0.6267534176271775,0.7488766913085881,1.6102672333898782,0.38248707419298855,0.6204016422429092,2,2,2,2,63,0.6804123711340206,73,0.6288659793814433,68,0.654639175257732,67,0.6597938144329897
main29_s019,main29_s019_o120,33,front,4,3,True,N,Y,-0.028,0.028,2.4,2.4,N,N,N,7.008545254023428,2.0230143184042744,59.87228034295129,3.1440818836749966,0.0050818836749968455,0.10163767349993691,-23.243715465633045,-2.6437154656330506,-1.0574861862532203,0.7512014546015138,0.23734482745893934,0.3358994100317984,3.165021385315303,0.5138566271425744,0.6071076048737448,1,1,1,1,96,0.5103092783505154,26,0.8711340206185567,57,0.711340206185567,68,0.654639175257732
main29_s021,main29_s021_o133,53,front,4,3,True,N,Y,0.014,0.014,0.5,0.5,N,N,N,7.0559134418373795,4.02252339222861,297.98300021177937,4.648517666744464,-0.027482333255536062,-0.45986739341590216,-5.570097400700433,3.229902599299578,1.2919610397198311,0.9697013322877006,0.6092286156530214,0.7153818074629064,1.5916871062405609,0.36047271663467917,0.6025876763906526,2,2,2,2,69,0.6494845360824743,75,0.6185567010309279,69,0.6494845360824743,69,0.6494845360824743
main29_s021,main29_s021_o136,34,rear,4,3,True,N,Y,-0.046,0.046,0.4,0.4,N,N,N,7.057142760901387,4.006601467680014,296.78166151174315,1.2572957227504722,0.06529572275047224,1.3059144550094448,-0.3999514572618068,-0.9999514572618011,-0.39998058290472044,0.9657631776226031,0.6074665934478897,0.7301742089609926,1.589821050308422,0.35829658417471344,0.600798288162939,3,3,3,3,70,0.6443298969072164,76,0.6134020618556701,72,0.634020618556701,70,0.6443298969072164
main29_s008,main29_s008_o051,42,front,5,4,True,N,Y,-0.009,0.009,6.7,6.7,N,N,N,3.969771447875058,0.975530744206065,116.29636672609769,3.228060991973083,-0.003939008026917268,-0.07878016053834536,-31.39861485789794,-4.798614857897945,-1.3572532425288633,0.9613383062297999,0.6289717573845186,0.8352163149511321,1.5284284150171956,0.3323665488452813,0.5901503828239031,3,3,3,3,72,0.634020618556701,80,0.5927835051546392,75,0.6185567010309279,71,0.6391752577319587
repeat10_s001,repeat10_s001_o005,45,rear,4,3,True,N,Y,-0.041,0.041,-1.3,1.3,N,N,N,1.960476751246687,1.0414222396995712,60.23618535470541,0.9105274639358651,0.06952746393586517,1.3905492787173035,-14.00787602335754,-1.6078760233575338,-0.4547760157693488,1.0345164380183274,0.760164687842643,1.0961550217666598,1.3609109375420978,0.27435175017568436,0.5877384344565445,3,3,3,3,59,0.7010309278350515,86,0.5618556701030928,78,0.6030927835051547,72,0.634020618556701
main29_s012,main29_s012_o073,37,front,6,5,True,N,Y,0.067,0.067,1.0,1.0,N,N,N,4.956874809040044,0.9956386182171657,116.84458047261566,4.356871477779426,-0.07612852222057409,-1.5225704444114818,9.000885479631819,1.4008854796318246,0.5603541918527298,1.1472178473424965,0.9669995370311283,1.339382082336802,1.186368559042616,0.18021831031136826,0.5832323931677375,3,3,3,3,46,0.768041237113402,104,0.4690721649484536,90,0.5412371134020619,73,0.6288659793814433
main29_s022,main29_s022_o137,31,front,5,4,True,N,Y,-0.08,0.08,-0.1,0.1,N,N,N,8.017940960705655,1.010736467614195,40.07631153988041,3.523342395371963,0.061342395371962954,1.226847907439259,-16.981375676332704,0.018624323667296494,0.007449729466918598,0.8675284682525465,0.5085039679163247,0.7174129685279376,1.7060407056554179,0.3590245003362218,0.5750919365832703,2,2,2,2,79,0.5979381443298969,69,0.6494845360824743,71,0.6391752577319587,74,0.6237113402061856
main29_s017,main29_s017_o110,49,front,5,4,True,N,Y,0.052,0.052,0.9,0.9,N,N,N,6.0828721061127675,3.991576897815377,262.1981761144096,3.886123205352275,-0.047876794647724985,-0.9575358929544997,1.3098868719233678,2.5098868719233565,1.0039547487693425,0.98101990904178,0.7225878704129323,1.0627014693164771,1.3576479058265445,0.2584320386288478,0.5695035509605751,3,3,3,3,68,0.654639175257732,87,0.5567010309278351,80,0.5927835051546392,75,0.6185567010309279
main29_s002,main29_s002_o009,38,front,6,5,True,N,Y,-0.031,0.031,-1.9,1.9,N,N,N,2.024825713791296,2.011871832817665,71.28647896866964,3.1834750586299037,0.014475058629903614,0.2895011725980723,-8.005036071327083,2.794963928672928,1.117985571469171,0.8166096579605545,0.4790136102685684,0.6727216559706748,1.7047733936050506,0.3375960476919861,0.5521312666029283,2,2,2,2,86,0.5618556701030928,70,0.6443298969072164,74,0.6237113402061856,76,0.6134020618556701
repeat10_s010,repeat10_s010_o060,50,front,5,4,True,N,Y,-0.05,0.05,-1.1,1.1,N,N,N,9.050827872864073,3.980814654480078,244.62765714251069,4.487547972473006,0.06354797247300592,1.2709594494601184,10.352678929068702,1.4526789290686963,0.5810715716274786,0.9881756153451661,0.8027126476805063,1.1518586367612234,1.231045279030507,0.18546296766465975,0.5481603607855199,3,3,3,3,67,0.6597938144329897,96,0.5103092783505154,89,0.5463917525773196,77,0.6082474226804124
repeat10_s007,repeat10_s007_o041,32,front,5,4,True,N,Y,-0.062,0.062,-1.5,1.5,N,N,N,5.97316680534953,2.015151640953589,64.23386070348269,3.925669567140687,0.06566956714068706,1.3133913428137411,11.424120719324094,1.2241207193241053,0.4896482877296421,0.9911488952358904,0.825748167334335,1.2994250955812205,1.2003040811286316,0.16540072790155547,0.5428727318308129,3,3,3,3,66,0.6649484536082475,102,0.47938144329896903,91,0.5360824742268041,78,0.6030927835051547
main29_s001,main29_s001_o003,37,front,5,4,True,N,Y,0.012,0.012,-2.8,2.8,N,N,N,2.013599144975541,1.028157435815106,60.46582672010905,4.400386605812274,-0.043613394187725696,-0.8722678837545139,-8.822159918083713,3.277840081916281,1.3111360327665125,1.1135369229280832,1.0884900970632518,1.2039577744249224,1.0230106143660909,0.025046825864831312,0.5331779760382358,4,4,4,4,49,0.7525773195876289,123,0.3711340206185567,119,0.3917525773195877,79,0.5979381443298969
main29_s025,main29_s025_o155,55,front,4,3,True,N,Y,0.04,0.04,-0.9,0.9,N,N,N,8.0151557925811,4.055920933932372,310.42503602243534,3.2168014331050543,-0.012198566894945806,-0.24397133789891612,-4.438028203784484,2.1619717962155107,0.8647887184862043,0.6353666427100177,0.2021363563580026,0.27801269359452446,3.1432576215271406,0.43323028635201516,0.5285312596608651,1,1,1,1,118,0.3969072164948454,27,0.865979381443299,64,0.6752577319587629,80,0.5927835051546392
main29_s013,main29_s013_o083,39,front,6,5,True,N,Y,0.013,0.013,1.9,1.9,N,N,N,4.879617757833689,1.9646084188727706,114.98916893126703,4.499269728003156,-0.07473027199684346,-1.2504766270355545,-20.08145360949095,-0.5814536094909499,-0.23258144379637996,0.8993847682612337,0.7073932478133704,1.0175159888023442,1.2714070582965415,0.19199152044786327,0.5267590049410471,3,3,3,3,77,0.6082474226804124,91,0.5360824742268041,86,0.5618556701030928,81,0.5876288659793815
main29_s006,main29_s006_o034,46,front,5,4,True,N,Y,-0.013,0.013,-3.3,3.3,N,N,N,3.022871462556812,2.9849086659045767,264.16254487289183,2.8569763660296745,0.0009763660296746579,0.019527320593493158,2.013991281892004,3.013991281892004,1.2055965127568016,0.8525972870649197,0.6206344470629414,1.0647156765605688,1.3737511527110804,0.2319628400019783,0.5260885874726856,2,2,2,2,82,0.5824742268041236,85,0.5670103092783505,84,0.5721649484536082,82,0.5824742268041236
main29_s012,main29_s012_o076,41,front,6,5,True,N,Y,0.002,0.002,5.0,5.0,N,N,N,4.9633327031887715,0.9865435565081779,116.06169705859035,4.5882377528200875,-0.024762247179912933,-0.41435164765178584,-28.520391920639838,-3.520391920639838,-1.4081567682559353,1.0379288925299144,0.9831010770396814,1.4766552788012943,1.0557702730377743,0.05482781549023297,0.5233867827248151,4,4,4,4,58,0.7061855670103092,116,0.4072164948453608,113,0.4226804123711341,83,0.5773195876288659
main29_s007,main29_s007_o041,45,front,6,5,True,N,Y,-0.048,0.048,-3.2,3.2,N,N,N,2.9553518252398714,4.021257442236312,276.3301537573963,4.074657522302161,0.052657522302160586,1.0531504460432117,24.71910290211963,-1.28089709788037,-0.3622924095653514,0.7875219527193145,0.5145547641198537,0.730980429052104,1.5304920051928221,0.2729671885994608,0.5199692816502173,3,3,3,3,90,0.5412371134020619,79,0.5979381443298969,79,0.5979381443298969,84,0.5721649484536082
main29_s028,main29_s028_o169,53,front,4,3,True,N,Y,0.054,0.054,-1.7,1.7,N,N,N,9.015038978453502,3.0082785728837846,293.29196708145076,2.9230216401558704,-0.04997835984412946,-0.9995671968825892,11.162025187795848,0.2620251877958424,0.10481007511833695,0.7106756408271034,0.38068011489521164,0.4471243050470209,1.8668577974521428,0.3299955259318918,0.5147286711527971,2,2,2,2,104,0.4690721649484536,59,0.7010309278350515,76,0.6134020618556701,85,0.5670103092783505
main29_s014,main29_s014_o090,47,front,6,5,True,N,Y,0.024,0.024,-0.3,0.3,N,N,N,5.020544074053586,2.971282525651279,245.98968022888647,3.1587947100662355,-0.04120528993376471,-0.8241057986752942,2.727410908868592,1.9274109088685805,0.7709643635474321,0.7979775740176981,0.5617144806442779,1.0562286687027198,1.4206106509884346,0.23626309337342022,0.510962524781416,2,2,2,2,89,0.5463917525773196,84,0.5721649484536082,83,0.5773195876288659,86,0.5618556701030928
main29_s018,main29_s018_o118,57,front,4,3,True,N,Y,-0.043,0.043,1.2,1.2,N,N,N,6.981364457471275,1.1591870349925901,24.63361955835194,4.182300534566146,-0.042699465433853945,-0.8539893086770789,-13.523132707747095,0.2768672922529163,0.11074691690116652,0.6089181467725646,0.25748858793101215,0.35720556526898023,2.36483547354615,0.35142955884155247,0.48423353708079203,2,2,2,2,124,0.365979381443299,41,0.7938144329896908,73,0.6288659793814433,87,0.5567010309278351
main29_s004,main29_s004_o020,45,front,6,5,True,N,Y,-0.04,0.04,-1.1,1.1,N,N,N,1.9381125630737492,4.0278910816301465,288.5568925362594,3.8858239989259893,0.06282399892598933,1.2564799785197867,22.68334825091415,-1.3166517490858496,-0.5266606996343398,0.9633570026112894,1.0319302465414752,1.5304682842390718,0.9335485667175569,-0.06857324393018582,0.4741092880776829,3,3,3,3,71,0.6391752577319587,133,0.31958762886597936,139,0.28865979381443296,88,0.5515463917525774
repeat10_s006,repeat10_s006_o039,49,rear,6,5,True,N,Y,0.029,0.029,-0.2,0.2,N,N,N,4.894533923338988,1.9885085934511926,113.79910416776178,1.8969517552798818,-0.01404824472011823,-0.2809648944023646,7.411284434767595,-4.1887155652324,-1.184747672254989,0.8609786056575817,0.8200822969074042,1.337555593592466,1.0498685423455678,0.04089630875017747,0.4730437778118686,3,3,3,3,81,0.5876288659793815,117,0.4020618556701031,117,0.4020618556701031,89,0.5463917525773196
main29_s012,main29_s012_o072,36,front,6,5,True,N,Y,-0.035,0.035,2.4,2.4,N,N,N,4.959082751673979,0.9641086578588559,116.63566735187474,3.730849287090659,0.06684928709065874,1.3369857418131748,20.536128260165754,-0.06387173983424077,-0.025548695933696308,0.9455642785330984,1.0038244765994566,1.6203071029992682,0.9419617677945853,-0.05826019806635818,0.4718797926541681,5,5,5,5,74,0.6237113402061856,131,0.3298969072164949,135,0.30927835051546393,90,0.5412371134020619
main29_s029,main29_s029_o176,51,front,5,4,True,N,Y,0.033,0.033,0.1,0.1,N,N,N,9.076144320234736,4.018121756599312,246.8977405398675,3.863929658757583,0.013929658757582786,0.2785931751516557,0.653879062013857,2.8538790620138457,1.1415516248055382,0.8308893636752265,0.7621662035652432,1.0295524092023487,1.0901682071292478,0.06872316010998325,0.47151588879309886,3,3,3,3,84,0.5721649484536082,113,0.4226804123711341,109,0.44329896907216493,91,0.5360824742268041
repeat10_s005,repeat10_s005_o027,39,front,7,6,True,N,Y,-0.132,0.132,-0.3,0.3,Y,N,Y,4.943636201690857,1.0328141741755283,115.73004815551228,5.2386609341338115,0.0716609341338117,1.1991167810770305,-12.597088150003628,1.3029118499963772,0.5211647399985508,0.9245252135226751,0.9846402524775977,1.692436775504874,0.9389472055365823,-0.06011503895492254,0.4658402006955722,3,3,3,3,75,0.6185567010309279,132,0.32474226804123707,136,0.3041237113402062,92,0.5309278350515464
main29_s008,main29_s008_o050,41,front,5,4,True,N,Y,-0.047,0.047,2.5,2.5,N,N,N,3.9740948934255376,0.9607955905911062,116.81620553125136,3.8429703037540905,0.05497030375409073,1.0994060750818146,-18.860249616993542,0.03975038300646361,0.01590015320258544,0.7774787883918977,0.6901043464928751,0.89804695364294,1.1266104790428597,0.08737444189902255,0.4600182172214627,4,4,4,4,92,0.5309278350515464,110,0.4381443298969072,104,0.4690721649484536,93,0.5257731958762887
main29_s029,main29_s029_o174,49,front,5,4,True,N,Y,0.115,0.115,1.7,1.7,Y,N,Y,9.054409743876128,4.012894079459911,246.20042126156366,5.261195363349234,-0.06780463665076564,-1.1345885819872585,18.963944864099744,-0.13605513590024998,-0.05442205436009999,0.8031976750391623,0.7578239086673674,1.0140850604108163,1.0598737593956156,0.04537376637179491,0.45692726733252736,4,4,4,4,87,0.5567010309278351,115,0.41237113402061853,116,0.4072164948453608,94,0.5206185567010309
repeat10_s008,repeat10_s008_o050,49,front,6,5,True,N,Y,-0.012,0.012,-1.1,1.1,N,N,N,6.0295079633418664,3.9803254883555335,260.97882162665763,3.866899447200457,-0.0041005527995428,-0.08201105599085601,-0.6811501835717308,2.518849816428258,1.0075399265713032,0.7147945568273595,0.5795910055950659,0.9727117846200556,1.2332740672769413,0.13520355123229355,0.45251875599157454,2,2,2,2,103,0.4742268041237113,95,0.5154639175257731,94,0.5206185567010309,95,0.5154639175257731
main29_s029,main29_s029_o178,58,rear,5,4,True,N,Y,-0.091,0.091,-1.0,1.0,Y,N,Y,9.076265545613502,4.0022356912519825,245.90290552420666,0.7517347524217082,0.04473475242170821,0.8946950484341643,10.433050371691763,-2.4669496283082424,-0.6977587244089565,0.8022924863107673,0.7767170383877299,1.0023115683377655,1.0329276257105493,0.025575447923037453,0.4515589533822461,5,5,5,5,88,0.5515463917525774,120,0.38659793814432986,118,0.3969072164948454,96,0.5103092783505154
