group_key,dataset,gt_x,gt_y,gt_h,initial_x,initial_y,initial_h,est_x,est_y,est_h,ok,detail,observation_count,used_tag_count,used_distance_count,used_angle_count,initial_pos_err_cm,pos_err_cm,initial_heading_err_deg,heading_err_deg,distance_rms_cm,distance_max_abs_cm,angle_rms_deg,angle_max_abs_deg,cost,seed_count,best_seed_heading_deg,iterations,evaluations
624_x2.000_y3.000_h0.0,624,2.0,3.0,0.0,2.2,2.85,20.0,2.2,2.85,20.0,False,not enough distance/angle observations,1,1,1,1,25.00000000000001,25.00000000000001,20.0,20.0,21.868724780010407,21.868724780010407,23.68302745306255,23.68302745306255,inf,0,20.0,0,0
624_x2.000_y3.000_h90.0,624,2.0,3.0,90.0,2.2,2.85,110.0,1.9687499999999998,3.0281250000000006,89.6875,True,ok,6,6,6,6,25.00000000000001,4.2042575147105925,20.0,0.3125,2.609162176816467,5.9399897317338635,2.0824082985109333,3.442984391791896,0.8995438878869848,13,80.0,263,2643
624_x2.000_y3.000_h180.0,624,2.0,3.0,180.0,2.2,2.85,200.0,2.00625,3.0031250000000003,176.71875,True,ok,2,2,2,2,25.00000000000001,0.6987712429687041,20.0,3.28125,0.026590226089316285,0.037146322538550436,0.16652100416164123,0.19251036704633862,0.0015687952064393127,13,170.0,337,3383
624_x2.000_y3.000_h270.0,624,2.0,3.0,270.0,2.2,2.85,290.0,1.990625,2.9875,270.15625,True,ok,6,6,6,6,25.00000000000001,1.562500000000009,20.0,0.15625,1.8710127517070099,2.7605900888593826,2.3040258912674108,3.1855964722292924,1.062507977494309,13,260.0,274,2753
624_x2.000_y4.000_h90.0,624,2.0,4.0,90.0,2.2,3.85,110.0,1.9843750000000009,3.9999999999999996,88.75,True,ok,2,2,2,2,25.00000000000001,1.5624999999999112,20.0,1.25,0.08039095677184341,0.10978776240964105,0.6108563231024414,0.641364801194527,0.02098881087468516,13,110.0,313,3143
624_x2.000_y4.000_h180.0,624,2.0,4.0,180.0,2.2,3.85,200.0,2.01875,4.015625,178.90625,True,ok,2,2,2,2,25.00000000000001,2.440703023720816,20.0,1.09375,0.33544568548404785,0.38232117938707955,0.5710989444415672,0.6139236223684748,0.02262061922429852,13,185.0,295,2963
624_x2.000_y4.000_h270.0,624,2.0,4.0,270.0,2.2,3.85,290.0,2.015625,3.978125,267.5,True,ok,5,5,5,5,25.00000000000001,2.688226645950828,20.0,2.5,4.451858398619309,7.883891411728983,1.7178199352920045,2.6195489973098347,1.6558275622399696,13,260.0,292,2933
624_x3.000_y3.000_h0.0,624,3.0,3.0,0.0,3.2,2.85,20.0,2.9,2.9718750000000003,359.84375,True,ok,3,3,3,3,25.00000000000001,10.387981336621664,20.0,0.15625,4.879725005423649,7.070829382564225,1.9028217767217563,2.226209548145789,1.0674289711706293,13,350.0,256,2573
624_x3.000_y3.000_h90.0,624,3.0,3.0,90.0,3.2,2.85,110.0,2.9718750000000003,3.0031250000000003,90.78125,True,ok,5,5,5,5,25.00000000000001,2.8298078556679194,20.0,0.78125,0.974607801477957,1.5980600583853644,3.1926132223413513,4.90607901057956,1.109063443180037,13,80.0,284,2853
624_x3.000_y3.000_h180.0,624,3.0,3.0,180.0,3.2,2.85,200.0,3.015625,3.0125,180.0,True,ok,4,4,4,4,25.00000000000001,2.0009763241977763,20.0,0.0,1.5489461448755084,2.607808384086807,3.9366603548981964,6.682948247140445,1.913860371647664,13,170.0,262,2633
624_x3.000_y3.000_h270.0,624,3.0,3.0,270.0,3.2,2.85,290.0,3.0093750000000004,3.0031250000000003,271.40625,True,ok,8,8,8,8,25.00000000000001,0.9882117688026607,20.0,1.40625,2.556918473239748,4.438986148436452,3.789401248291106,7.97197103966414,3.691883397841454,13,260.0,284,2853
624_x3.000_y4.000_h0.0,624,3.0,4.0,0.0,3.2,3.85,20.0,2.9,4.1125,356.09375,True,ok,5,5,5,5,25.00000000000001,15.051993223490362,20.0,3.90625,6.651505922882079,11.082592815435177,4.1300655660954,6.19081230496144,4.766067770497105,13,350.0,268,2693
624_x3.000_y4.000_h90.0,624,3.0,4.0,90.0,3.2,3.85,110.0,3.2,3.85,110.0,False,not enough distance/angle observations,1,1,1,1,25.00000000000001,25.00000000000001,20.0,20.0,20.047367321292953,20.047367321292953,15.496781927829545,15.496781927829545,inf,0,110.0,0,0
624_x3.000_y4.000_h180.0,624,3.0,4.0,180.0,3.2,3.85,200.0,2.996875,4.0218750000000005,180.0,True,ok,4,4,4,4,25.00000000000001,2.2097086912080113,20.0,0.0,1.5363810306647943,2.221963162438456,3.8545272651374223,6.6516877043469265,1.8396573823429043,13,170.0,249,2503
624_x3.000_y4.000_h270.0,624,3.0,4.0,270.0,3.2,3.85,290.0,3.046875,3.9906249999999996,265.78125,True,ok,5,5,5,5,25.00000000000001,4.780330793993243,20.0,4.21875,6.405172392264685,9.665396313757824,5.135741453297299,10.838555273629453,4.836272226392728,13,260.0,328,3293
624_x4.000_y3.000_h0.0,624,4.0,3.0,0.0,4.2,2.85,20.0,4.1468750000000005,2.9531250000000004,5.9375,True,ok,5,5,5,5,25.00000000000001,15.417370479430048,20.0,5.9375,10.4865838658432,18.093829788359184,4.706263262636013,7.706966325923162,11.731410899514342,13,350.0,258,2593
624_x4.000_y3.000_h90.0,624,4.0,3.0,90.0,4.2,2.85,110.0,4.000000000000001,3.0281250000000006,90.9375,True,ok,5,5,5,5,25.00000000000001,2.812500000000062,20.0,0.9375,1.8746619646440028,2.6857597029501967,3.733349917302346,6.073246039300926,1.6003837394810616,13,110.0,270,2713
624_x4.000_y3.000_h180.0,624,4.0,3.0,180.0,4.2,2.85,200.0,3.95,2.9906250000000005,178.4375,True,ok,6,6,6,6,25.00000000000001,5.087131436281131,20.0,1.5625,3.0877793811120653,4.822348342783123,4.776463460370345,10.13079753871176,4.911040115658324,13,170.0,280,2813
624_x4.000_y3.000_h270.0,624,4.0,3.0,270.0,4.2,2.85,290.0,3.98125,2.9781250000000004,271.875,True,ok,7,7,7,7,25.00000000000001,2.881107642903989,20.0,1.875,2.842445035212034,5.581680601377248,4.480812099624202,8.473562468971636,4.314583693942071,13,260.0,284,2853
624_x4.000_y4.000_h0.0,624,4.0,4.0,0.0,4.2,3.85,20.0,3.94375,4.112499999999999,1.875,True,ok,3,3,3,3,25.00000000000001,12.577882373436216,20.0,1.875,5.847817835771536,7.078092034494432,4.9363973723316,5.559845193993112,2.504704590139113,13,350.0,323,3243
624_x4.000_y4.000_h90.0,624,4.0,4.0,90.0,4.2,3.85,110.0,3.915625,4.025,86.5625,True,ok,3,3,3,3,25.00000000000001,8.800079900205471,20.0,3.4375,11.01601467643016,18.371660133235146,4.362253035431959,7.12374417241071,4.5322703248900105,13,80.0,304,3053
624_x4.000_y4.000_h180.0,624,4.0,4.0,180.0,4.2,3.85,200.0,3.9718750000000003,3.95,174.375,True,ok,4,4,4,4,25.00000000000001,5.73673742208929,20.0,5.625,2.2593157744469665,3.1319924765541796,2.362212828998581,4.105560904814752,1.0283661158804671,13,170.0,260,2613
624_x4.000_y4.000_h270.0,624,4.0,4.0,270.0,4.2,3.85,290.0,3.98125,3.9531249999999996,268.75,True,ok,3,3,3,3,25.00000000000001,5.048592006688632,20.0,1.25,0.13336983932169524,0.16656392126330744,1.109238529505291,1.407360856002299,0.10360142712069667,13,260.0,276,2773
624_x5.000_y3.000_h0.0,624,5.0,3.0,0.0,5.2,2.85,20.0,4.965625,3.281250000000001,356.40625,True,ok,5,5,5,5,25.00000000000001,28.334290731373617,20.0,3.59375,13.55377741168527,25.6274191843878,6.394516222299327,12.59279316140649,17.90031538329456,13,350.0,313,3143
624_x5.000_y3.000_h90.0,624,5.0,3.0,90.0,5.2,2.85,110.0,4.965625,3.0250000000000004,90.15625,True,ok,6,6,6,6,25.00000000000001,4.250459533979833,20.0,0.15625,2.818526818227868,5.316575480967645,3.661605961831786,5.056815522693171,2.22524644362668,13,80.0,258,2593
624_x5.000_y3.000_h180.0,624,5.0,3.0,180.0,5.2,2.85,200.0,4.956250000000001,2.959375,176.25,True,ok,6,6,6,6,25.00000000000001,5.9703041170445665,20.0,3.75,3.275902429007218,4.996591058124,3.0224098532588157,6.416350363118681,2.810277960437709,13,170.0,280,2813
624_x5.000_y3.000_h270.0,624,5.0,3.0,270.0,5.2,2.85,290.0,4.9375,3.0093750000000004,268.75,True,ok,6,6,6,6,25.00000000000001,6.319921380048969,20.0,1.25,1.8972945131278618,2.7724047502201365,2.0880433856545637,4.20224322416027,0.6873207954583322,13,275.0,299,3003
624_x5.000_y4.000_h0.0,624,5.0,4.0,0.0,5.2,3.85,20.0,4.8843749999999995,4.2281249999999995,357.1875,True,ok,5,5,5,5,25.00000000000001,25.575409332012633,20.0,2.8125,8.549492616117266,17.7295817846852,5.704266555780737,11.021753657887672,6.540686011141547,13,350.0,304,3053
624_x5.000_y4.000_h90.0,624,5.0,4.0,90.0,5.2,3.85,110.0,4.950000000000001,4.0375,91.875,True,ok,5,5,5,5,25.00000000000001,6.249999999999893,20.0,1.875,8.264987552652565,15.747662220334613,3.382849895018085,5.258662035359322,4.999948432889026,13,80.0,318,3193
624_x5.000_y4.000_h180.0,624,5.0,4.0,180.0,5.2,3.85,200.0,4.971875000000001,3.965625,177.5,True,ok,5,5,5,5,25.00000000000001,4.441459501109909,20.0,2.5,4.402862077972421,7.34217022798398,2.8888605139728822,5.489626642368535,3.0976187629302725,13,45.0,297,2983
624_x5.000_y4.000_h270.0,624,5.0,4.0,270.0,5.2,3.85,290.0,5.021875000000001,3.9562500000000003,266.875,True,ok,5,5,5,5,25.00000000000001,4.8913987007808295,20.0,3.125,1.3634352193428112,1.6701327362409923,1.2835540853152183,1.9539305885741385,0.4147165444468528,13,260.0,311,3123
625_x6.000_y2.000_h0.0,625,6.0,2.0,0.0,6.2,1.85,20.0,5.859375,1.9406250000000003,356.40625,True,ok,4,4,4,4,25.00000000000001,15.264593427274756,20.0,3.59375,3.1722344992921916,5.204274246773277,2.0996030506507672,2.671855739249537,1.2948605119579677,13,350.0,327,3283
625_x6.000_y2.000_h90.0,625,6.0,2.0,90.0,6.2,1.85,110.0,5.9625,2.0312500000000004,90.625,True,ok,8,8,8,8,25.00000000000001,4.8814060474416605,20.0,0.625,3.251588697728662,5.182576420382423,5.170394477636174,8.773050382756594,5.156322879128219,13,80.0,258,2593
625_x6.000_y2.000_h180.0,625,6.0,2.0,180.0,6.2,1.85,200.0,5.903125,1.9687500000000002,180.9375,True,ok,7,7,7,7,25.00000000000001,10.179060921813933,20.0,0.9375,10.129478020414236,25.541125243973006,3.501759161619101,8.162978024263282,9.081524859822482,13,170.0,287,2883
625_x6.000_y2.000_h270.0,625,6.0,2.0,270.0,6.2,1.85,290.0,6.009375000000001,1.9531250000000002,262.5,True,ok,6,6,6,6,25.00000000000001,4.7803307939932385,20.0,7.5,4.273700293748268,8.198484263638806,1.7251483131630765,2.9672905120414157,1.5860387283809982,13,135.0,264,2653
625_x6.000_y4.000_h0.0,625,6.0,4.0,0.0,6.2,3.85,20.0,5.840624999999999,4.090624999999999,359.0625,True,ok,7,7,7,7,25.00000000000001,18.33392517984081,20.0,0.9375,10.749727228076313,20.55400406339798,2.9197442642971634,5.657640868011356,11.275982347702517,13,350.0,289,2903
625_x6.000_y4.000_h90.0,625,6.0,4.0,90.0,6.2,3.85,110.0,6.028125,4.031249999999999,92.03125,True,ok,4,4,4,4,25.00000000000001,4.204257514710481,20.0,2.03125,5.31604928503433,7.526412624522649,0.8753610183113408,1.1677980221683981,1.4860597535019837,13,110.0,291,2923
625_x6.000_y4.000_h180.0,625,6.0,4.0,180.0,6.2,3.85,200.0,5.9625,3.975,178.28125,True,ok,5,5,5,5,25.00000000000001,4.506939094329952,20.0,1.71875,3.308378611676694,5.5064543153484635,1.6815763096582965,3.269345294418372,1.4872728600983163,13,45.0,348,3493
625_x6.000_y4.000_h270.0,625,6.0,4.0,270.0,6.2,3.85,290.0,6.068749999999999,3.9499999999999997,265.9375,True,ok,4,4,4,4,25.00000000000001,8.500919067959567,20.0,4.0625,2.820449785752327,4.581711552010415,1.7682358657590478,2.8142579277858317,0.9838014125112112,13,290.0,282,2833
625_x7.000_y3.000_h0.0,625,7.0,3.0,0.0,7.2,2.85,20.0,6.778124999999999,3.075,0.3125,True,ok,3,3,3,3,25.00000000000001,23.42082740318974,20.0,0.3125,2.4343771721962066,3.512301297909115,3.239065605348802,4.510230355504859,1.2298670326367334,13,350.0,295,2963
625_x7.000_y3.000_h90.0,625,7.0,3.0,90.0,7.2,2.85,110.0,6.949999999999999,3.0093750000000004,88.59375,True,ok,5,5,5,5,25.00000000000001,5.0871314362812345,20.0,1.40625,2.0822090071889168,4.053059696857142,2.1283998060764486,3.8302185903324926,0.5727400919280994,13,95.0,331,3323
625_x7.000_y3.000_h180.0,625,7.0,3.0,180.0,7.2,2.85,200.0,6.9593750000000005,3.3437500000000004,179.0625,True,ok,4,4,4,4,25.00000000000001,34.61422440630445,20.0,0.9375,7.766594895558117,12.233680941967195,2.239928633260627,4.35785317713794,3.569931056180142,13,170.0,332,3333
625_x7.000_y3.000_h270.0,625,7.0,3.0,270.0,7.2,2.85,290.0,7.015625,2.9875000000000003,271.40625,True,ok,7,7,7,7,25.00000000000001,2.0009763241977487,20.0,1.40625,2.906709876515835,4.9490727648692,2.435434572002361,4.0944750844262785,1.8503888610407537,13,260.0,310,3113
625_x7.000_y4.000_h0.0,625,7.0,4.0,0.0,7.2,3.85,20.0,6.784375,4.184375,356.875,True,ok,5,5,5,5,25.00000000000001,28.370456684727536,20.0,3.125,3.844559802416661,6.728346248827144,2.875462671801303,5.361155052713173,2.626437004230621,13,350.0,320,3213
625_x7.000_y4.000_h90.0,625,7.0,4.0,90.0,7.2,3.85,110.0,7.000000000000001,4.015625,90.0,True,ok,4,4,4,4,25.00000000000001,1.5625,20.0,0.0,9.462620035410485,17.90897228768489,5.387321392880769,7.273205781077195,5.625609551183553,13,110.0,262,2633
625_x7.000_y4.000_h180.0,625,7.0,4.0,180.0,7.2,3.85,200.0,6.9,3.990625,178.4375,True,ok,7,7,7,7,25.00000000000001,10.043849174992587,20.0,1.5625,9.916970279778095,14.13371572794837,7.379339918256538,13.65546534069648,13.999143063129953,13,170.0,300,3013
625_x7.000_y4.000_h270.0,625,7.0,4.0,270.0,7.2,3.85,290.0,6.8875,4.053125,271.5625,True,ok,5,5,5,5,25.00000000000001,12.441268273371458,20.0,1.5625,3.3591351662597093,4.974546856022233,2.76704705998221,5.835691322173943,1.6082674406727153,13,275.0,290,2913
625_x8.000_y3.000_h0.0,625,8.0,3.0,0.0,8.2,2.85,20.0,7.762499999999999,3.059375,357.8125,True,ok,4,4,4,4,24.99999999999994,24.480939652104933,20.0,2.1875,0.8107670654682009,1.1081327040692202,1.8826300997150887,2.8403693933538534,0.4463981356839717,13,350.0,313,3143
625_x8.000_y3.000_h90.0,625,8.0,3.0,90.0,8.2,2.85,110.0,7.893749999999999,2.9875000000000003,90.3125,True,ok,6,6,6,6,24.99999999999994,10.698276730389908,20.0,0.3125,4.134058649423573,8.474304562333446,7.754848235080347,12.519942154344335,6.871686226030542,13,95.0,278,2793
625_x8.000_y3.000_h180.0,625,8.0,3.0,180.0,8.2,2.85,200.0,7.959375,2.996875,177.65625,True,ok,9,9,9,9,24.99999999999994,4.07450150325169,20.0,2.34375,11.79826808691108,21.75382490871627,6.894654065196109,11.663701398623402,24.09977065078485,13,170.0,276,2773
625_x8.000_y3.000_h270.0,625,8.0,3.0,270.0,8.2,2.85,290.0,7.953124999999999,3.0125,270.78125,True,ok,6,6,6,6,24.99999999999994,4.851304592581348,20.0,0.78125,3.2862583483090617,5.071485859068092,5.451670781839203,9.035929522032689,3.7632784554292935,13,260.0,301,3023
625_x8.000_y4.000_h0.0,625,8.0,4.0,0.0,8.2,3.85,20.0,7.746874999999999,4.0406249999999995,356.09375,True,ok,4,4,4,4,24.99999999999994,25.636430377492164,20.0,3.90625,0.468135672925798,0.7096127036009481,1.6691993544889718,2.433409132780696,0.3271128012197441,13,350.0,310,3113
625_x8.000_y4.000_h90.0,625,8.0,4.0,90.0,8.2,3.85,110.0,7.9468749999999995,3.971875,87.5,True,ok,2,2,2,2,24.99999999999994,6.0110575192723505,20.0,2.5,0.5517136079321235,0.6486124464931464,1.922377482276867,1.966808063376078,0.21748302644960732,13,95.0,364,3653
625_x8.000_y4.000_h180.0,625,8.0,4.0,180.0,8.2,3.85,200.0,7.824999999999999,3.84375,175.3125,True,ok,5,5,5,5,24.99999999999994,23.460405473904377,20.0,4.6875,8.47884080972239,13.576448499080396,12.828155184401869,20.515167019492623,13.587299300732388,13,170.0,287,2883
625_x8.000_y4.000_h270.0,625,8.0,4.0,270.0,8.2,3.85,290.0,8.087500000000002,4.003125,266.40625,True,ok,2,2,2,2,24.99999999999994,8.7555785788264,20.0,3.59375,0.24940852162233396,0.33262525490806993,2.124168620000092,2.146073892661292,0.25315998032593,13,260.0,330,3313
625_x9.000_y3.000_h0.0,625,9.0,3.0,0.0,9.2,2.85,20.0,8.721875,3.04375,357.96875,True,ok,3,3,3,3,24.99999999999994,28.1544984194355,20.0,2.03125,0.8230157251215182,1.2606479319946295,2.7003947365621768,3.6433907167767643,0.6483189374655636,13,350.0,313,3143
625_x9.000_y3.000_h90.0,625,9.0,3.0,90.0,9.2,2.85,110.0,8.83125,2.9656249999999997,90.0,True,ok,6,6,6,6,24.99999999999994,17.221557166818506,20.0,0.0,4.030280930197166,6.581524459953325,7.6581857156320465,12.814504613128804,5.978556522930021,13,80.0,282,2833
625_x9.000_y3.000_h180.0,625,9.0,3.0,180.0,9.2,2.85,200.0,8.975,3.0781250000000004,180.9375,True,ok,2,2,2,2,24.99999999999994,8.202752967754233,20.0,0.9375,7.2643926073170535,9.064831599417623,3.736023053906815,4.7576482364016215,1.687327792034069,13,170.0,271,2723
625_x9.000_y3.000_h270.0,625,9.0,3.0,270.0,9.2,2.85,290.0,8.940624999999999,3.028125,271.25,True,ok,5,5,5,5,24.99999999999994,6.569936263009053,20.0,1.25,3.95240465748563,5.383643683795336,4.171733619228976,8.866568160242736,2.564810472853409,13,260.0,276,2773
625_x9.000_y4.000_h0.0,625,9.0,4.0,0.0,9.2,3.85,20.0,8.715625000000003,4.024999999999999,356.40625,True,ok,2,2,2,2,24.99999999999994,28.547178604022903,20.0,3.59375,0.2448328649997732,0.3133932704272757,0.6848839102616627,0.7485658640236466,0.028456945856654633,13,20.0,484,4853
625_x9.000_y4.000_h90.0,625,9.0,4.0,90.0,9.2,3.85,110.0,8.784375,3.928125,85.625,True,ok,2,2,2,2,24.99999999999994,22.728870682460155,20.0,4.375,1.5979472638387417,2.1897205339033166,3.3453861429888194,3.3867043812987276,0.7238934430815895,13,80.0,310,3113
625_x9.000_y4.000_h180.0,625,9.0,4.0,180.0,9.2,3.85,200.0,8.753125,3.721875,170.9375,True,ok,4,4,4,4,24.99999999999994,37.188813002030564,20.0,9.0625,9.949948697871172,14.871888854879778,16.61382131483269,32.81864310017278,13.45395367479848,13,170.0,301,3023
625_x9.000_y4.000_h270.0,625,9.0,4.0,270.0,9.2,3.85,290.0,8.90625,4.01875,269.6875,True,ok,5,5,5,5,24.99999999999994,9.560661587986468,20.0,0.3125,3.189759768298053,4.015259851009834,1.059976699282458,1.4342015223530211,1.173505432809415,13,260.0,280,2813
