sample_index,gt_x_m,gt_y_m,gt_heading_deg,preferred_heading_deg,tag_id,camera_role,used,meas_distance_m,true_distance_m,distance_error_m,meas_angle_deg,true_angle_deg,angle_error_deg,meas_yaw_deg,true_yaw_deg,yaw_error_deg,yaw_quant_true_angle_deg,yaw_quant_meas_yaw_deg,yaw_quant_true_yaw_deg,yaw_err_keep_deg,yaw_err_flip_deg,yaw_best_mode,yaw_best_err_deg,yaw_flip_gain_deg,yaw_branch_separation_deg,yaw_quantized_deg,yaw_decision,,dd
12,4,1,115,115,48,rear,A,0.915,0.965,-0.05,-3.2,-5.4,2.2,-34.6,-30.4,-4.2,-5.4,-34.6,-30.4,-4.2,65,keep,-4.2,-60.8,60.8,-30.4,accept_keep_quantized,,4.2
9,5,3,245,245,46,front,A,3.625,3.694,-0.068,13.6,14.5,-0.9,35.5,39.5,-4.1,14.5,35.5,39.5,-4.1,-75,keep,-4.1,-70.9,70.9,39.5,accept_keep_quantized,,4.1
6,7,4,295,295,55,front,A,3.915,3.972,-0.057,-28.1,-31.1,3,37.9,33.9,4,-31.1,37.9,33.9,4,-71.8,keep,4,-67.8,67.8,,reject_edge,,4
14,4,3,250,250,35,rear,A,2.627,2.579,0.049,14.4,14.7,-0.2,30.7,34.7,-3.9,14.7,30.7,34.7,-3.9,-65.4,keep,-3.9,-61.4,61.4,,reject_edge,,3.9
18,3,2,65,65,33,front,A,5.226,5.398,-0.172,27.7,29.4,-1.7,-58.3,54.4,-112.7,29.4,-58.3,54.4,-112.7,3.9,flip,3.9,108.8,108.8,54.4,accept_flip_quantized,,3.9
7,6,4,260,260,34,rear,A,1.13,1.2,-0.07,11.4,11.3,0.1,17.5,21.3,-3.8,11.3,17.5,21.3,-3.8,-38.8,keep,-3.8,-34.9,34.9,,reject_edge,,3.8
8,5,4,245,245,47,front,A,4.03,4.097,-0.067,-9.4,-5,-4.4,16.1,20,-3.8,-5,16.1,20,-3.8,-36.1,keep,-3.8,-32.3,32.3,20,accept_keep_quantized,,3.8
26,7,3,250,250,49,front,A,3.178,3.229,-0.051,3.8,8.1,-4.3,24.3,28.1,-3.8,8.1,24.3,28.1,-3.8,-52.4,keep,-3.8,-48.7,48.7,28.1,accept_keep_quantized,,3.8
14,4,3,250,250,45,front,A,3.641,3.664,-0.023,17.8,19,-1.2,35.4,39,-3.6,19,35.4,39,-3.6,-74.3,keep,-3.6,-70.7,70.7,39,accept_keep_quantized,,3.6
16,3,4,280,280,44,front,A,3.646,3.7,-0.054,40.2,39,1.2,-64.6,-61,-3.6,39,-64.6,-61,-3.6,125.6,keep,-3.6,-122,122,,reject_edge,,3.6
7,6,4,260,260,45,front,A,5.535,5.78,-0.244,38,38.3,-0.2,51.8,48.3,3.5,38.3,51.8,48.3,3.5,-100.1,keep,3.5,-96.6,96.6,,reject_edge,,3.5
8,5,4,245,245,35,rear,A,1.158,1.215,-0.057,-4.8,-2.7,-2.1,18.8,22.3,-3.5,-2.7,18.8,22.3,-3.5,-41,keep,-3.5,-37.5,37.5,22.3,accept_keep_quantized,,3.5
17,3,3,265,265,47,front,A,2.837,2.904,-0.067,-19.1,-16.6,-2.6,14.9,-11.6,26.5,-16.6,14.9,-11.6,26.5,-3.4,flip,-3.4,23.1,23.1,-11.6,accept_flip_quantized,,3.4
17,3,3,265,265,44,front,A,2.805,2.857,-0.052,32.1,33.5,-1.4,-54.9,-51.5,-3.4,33.5,-54.9,-51.5,-3.4,106.4,keep,-3.4,-103,103,,reject_edge,,3.4
20,2,2,70,70,36,front,A,3.639,3.672,-0.033,23.3,23.3,0,39.9,43.3,-3.4,23.3,39.9,43.3,-3.4,-83.3,keep,-3.4,-79.9,79.9,43.3,accept_keep_quantized,,3.4
15,4,4,220,220,33,rear,A,3.64,3.545,0.095,23,21.2,1.9,-74.6,71.2,-145.8,21.2,-74.6,71.2,-145.8,3.4,flip,3.4,142.4,142.4,,reject_edge,,3.4
11,5,1,115,115,40,front,A,5.121,5.254,-0.134,-18,-21,2.9,40.7,44,-3.3,-21,40.7,44,-3.3,-84.8,keep,-3.3,-81.5,81.5,44,accept_keep_quantized,,3.3
25,7,2,60,60,31,front,A,3.474,3.538,-0.064,25.6,26.4,-0.8,53.2,56.4,-3.2,26.4,53.2,56.4,-3.2,-109.7,keep,-3.2,-106.4,106.4,56.4,accept_keep_quantized,,3.2
27,8,3,250,250,48,front,A,4.442,4.482,-0.04,27.3,30.5,-3.3,47.3,50.5,-3.2,30.5,47.3,50.5,-3.2,-97.9,keep,-3.2,-94.7,94.7,,reject_edge,,3.2
10,5,2,115,115,39,front,A,4.484,4.561,-0.076,-18.2,-21.5,3.2,43.4,-46.5,89.8,-21.5,43.4,-46.5,89.8,3.1,flip,3.1,86.8,86.8,-46.5,accept_flip_quantized,,3.1
15,4,4,220,220,44,front,A,4.204,4.256,-0.051,-10,-9.9,-0.1,47,-49.9,96.9,-9.9,47,-49.9,96.9,2.9,flip,2.9,93.9,93.9,-49.9,accept_flip_quantized,,2.9
7,6,4,260,260,47,front,A,4.551,4.54,0.01,22,22.1,-0.1,29.2,32.1,-2.9,22.1,29.2,32.1,-2.9,-61.4,keep,-2.9,-58.5,58.5,32.1,accept_keep_quantized,,2.9
26,7,3,250,250,47,front,A,4.353,4.439,-0.086,28.4,30.1,-1.7,47.2,50.1,-2.9,30.1,47.2,50.1,-2.9,-97.3,keep,-2.9,-94.4,94.4,,reject_edge,,2.9
21,2,3,265,265,44,front,A,2.278,2.368,-0.09,13.7,14.2,-0.5,-68.1,-70.8,2.8,14.2,-68.1,-70.8,2.8,138.9,keep,2.8,-136.1,136.1,-70.8,accept_keep_quantized,,2.8
28,8,2,110,110,33,front,A,3.138,3.191,-0.053,6.7,9.7,-3.1,7.5,-10.3,17.8,9.7,7.5,-10.3,17.8,2.7,flip,2.7,15.1,15.1,-10.3,accept_flip_quantized,,2.7
13,4,2,65,65,46,rear,A,2.286,2.271,0.016,12,11.2,0.7,33.5,36.2,-2.7,11.2,33.5,36.2,-2.7,-69.7,keep,-2.7,-67,67,,reject_edge,,2.7
8,5,4,245,245,46,front,A,4.431,4.511,-0.08,2.2,6.4,-4.2,28.7,31.4,-2.7,6.4,28.7,31.4,-2.7,-60.1,keep,-2.7,-57.4,57.4,31.4,accept_keep_quantized,,2.7
23,6,2,65,65,58,front,A,4.333,4.392,-0.059,24.7,28,-3.3,-39.6,-37,-2.7,28,-39.6,-37,-2.7,76.6,keep,-2.7,-73.9,73.9,-37,accept_keep_quantized,,2.7
24,7,1,25,25,55,front,A,3.418,3.347,0.072,12.8,12.7,0.1,-15,-12.3,-2.7,12.7,-15,-12.3,-2.7,27.2,keep,-2.7,-24.5,24.5,-12.3,accept_keep_quantized,,2.7
25,7,2,60,60,32,front,A,3.348,3.419,-0.071,-10.3,-6.9,-3.4,20.4,23.1,-2.7,-6.9,20.4,23.1,-2.7,-43.5,keep,-2.7,-40.9,40.9,23.1,accept_keep_quantized,,2.7
1,9,1,45,45,56,front,A,2.1,2.138,-0.038,-10.7,-8.2,-2.5,-50.7,-53.2,2.5,-8.2,-50.7,-53.2,2.5,103.9,keep,2.5,-101.4,101.4,-53.2,accept_keep_quantized,,2.5
23,6,2,65,65,48,rear,A,2.348,2.335,0.013,10.1,13.3,-3.3,35.8,38.3,-2.5,13.3,35.8,38.3,-2.5,-74.2,keep,-2.5,-71.7,71.7,,reject_edge,,2.5
11,5,1,115,115,49,rear,A,0.873,0.936,-0.063,0.6,-2.2,2.9,-29.7,-27.2,-2.4,-2.2,-29.7,-27.2,-2.4,56.9,keep,-2.4,-54.5,54.5,-27.2,accept_keep_quantized,,2.4
15,4,4,220,220,45,front,A,4.401,4.488,-0.087,-18.1,-19.4,1.3,28.2,30.6,-2.4,-19.4,28.2,30.6,-2.4,-58.7,keep,-2.4,-56.3,56.3,30.6,accept_keep_quantized,,2.4
17,3,3,265,265,37,rear,A,2.249,2.198,0.051,8.7,10.6,-1.8,-18,15.6,-33.6,10.6,-18,15.6,-33.6,2.4,flip,2.4,31.2,31.2,,reject_edge,,2.4
9,5,3,245,245,45,front,A,4.267,4.361,-0.094,24.3,24.2,0.2,-51.6,49.2,-100.8,24.2,-51.6,49.2,-100.8,2.4,flip,2.4,98.4,98.4,49.2,accept_flip_quantized,,2.4
6,7,4,295,295,34,rear,A,1.159,1.238,-0.079,-4.1,0.2,-4.3,-27.1,-24.8,-2.3,0.2,-27.1,-24.8,-2.3,51.9,keep,-2.3,-49.6,49.6,-24.8,accept_keep_quantized,,2.3
3,9,3,295,295,55,front,A,1.734,1.778,-0.044,-23.1,-21.8,-1.2,40.8,43.2,-2.3,-21.8,40.8,43.2,-2.3,-84,keep,-2.3,-81.7,81.7,43.2,accept_keep_quantized,,2.3
3,9,3,295,295,53,front,A,2.899,2.918,-0.019,8.6,12.6,-4,-14.7,-12.4,-2.3,12.6,-14.7,-12.4,-2.3,27.1,keep,-2.3,-24.8,24.8,-12.4,accept_keep_quantized,,2.3
12,4,1,115,115,42,front,A,3.155,3.241,-0.087,-26.4,-33.4,7,33.8,31.6,2.2,-33.4,33.8,31.6,2.2,-65.5,keep,2.2,-63.3,63.3,,reject_edge,,2.2
2,9,2,85,85,57,front,A,2.124,2.158,-0.035,32.2,32.5,-0.4,-54.7,-52.5,-2.2,32.5,-54.7,-52.5,-2.2,107.1,keep,-2.2,-104.9,104.9,,reject_edge,,2.2
5,8,4,310,310,56,front,A,2.536,2.584,-0.048,-23.1,-22.2,-0.9,29.9,27.8,2.1,-22.2,29.9,27.8,2.1,-57.8,keep,2.1,-55.7,55.7,27.8,accept_keep_quantized,,2.1
7,6,4,260,260,49,front,A,3.886,3.882,0.004,-4.7,-2.1,-2.5,5.8,7.9,-2.1,-2.1,5.8,7.9,-2.1,-13.6,keep,-2.1,-11.5,11.5,,weak_small_true_yaw,,2.1
13,4,2,65,65,33,front,A,4.556,4.622,-0.066,23,22.2,0.8,45,47.2,-2.1,22.2,45,47.2,-2.1,-92.2,keep,-2.1,-90.1,90.1,47.2,accept_keep_quantized,,2.1
5,8,4,310,310,53,front,A,4.166,4.183,-0.017,14,17.3,-3.3,20.7,-22.7,43.5,17.3,20.7,-22.7,43.5,2,flip,2,41.5,41.5,-22.7,accept_flip_quantized,,2
3,9,3,295,295,33,rear,A,2.712,2.633,0.079,-15.5,-11.2,-4.2,-34.2,-36.2,2,-11.2,-34.2,-36.2,2,70.4,keep,2,-68.4,68.4,,reject_edge,,2
10,5,2,115,115,50,rear,A,2.138,2.143,-0.006,-11.6,-14.9,3.3,-41.9,-39.9,-2,-14.9,-41.9,-39.9,-2,81.9,keep,-2,-79.8,79.8,,reject_edge,,2
16,3,4,280,280,48,front,A,4.058,4.132,-0.074,-11.9,-11.4,-0.4,-23.5,-21.4,-2,-11.4,-23.5,-21.4,-2,44.9,keep,-2,-42.9,42.9,-21.4,accept_keep_quantized,,2
23,6,2,65,65,33,front,A,3.362,3.436,-0.073,-7.2,-1.1,-6,21.9,23.9,-2,-1.1,21.9,23.9,-2,-45.8,keep,-2,-43.8,43.8,23.9,accept_keep_quantized,,2
24,7,1,25,25,57,front,A,4.158,4.268,-0.11,-15.5,-15,-0.5,38.3,-40,78.3,-15,38.3,-40,78.3,1.7,flip,1.7,76.6,76.6,-40,accept_flip_quantized,,1.7
29,8,1,40,40,31,front,A,3.482,3.542,-0.061,-18.8,-16.9,-1.9,31.3,33.1,-1.7,-16.9,31.3,33.1,-1.7,-64.4,keep,-1.7,-62.7,62.7,33.1,accept_keep_quantized,,1.7
20,2,2,70,70,38,front,A,3.119,3.2,-0.081,-11.3,-8.9,-2.4,-12.7,11.1,-23.8,-8.9,-12.7,11.1,-23.8,1.7,flip,1.7,22.2,22.2,11.1,accept_flip_quantized,,1.7
9,5,3,245,245,48,front,A,2.817,2.887,-0.07,-17.2,-15.9,-1.3,10.7,9.1,1.6,-15.9,10.7,9.1,1.6,-19.8,keep,1.6,-18.2,18.2,9.1,accept_keep_quantized,,1.6
12,4,1,115,115,39,front,A,4.653,4.741,-0.088,-2.7,-4.1,1.4,-27.5,-29.1,1.6,-4.1,-27.5,-29.1,1.6,56.6,keep,1.6,-54.9,54.9,-29.1,accept_keep_quantized,,1.6
16,3,4,280,280,49,front,A,4.502,4.56,-0.058,-20.7,-22.5,1.8,-34,-32.5,-1.5,-22.5,-34,-32.5,-1.5,66.5,keep,-1.5,-65,65,-32.5,accept_keep_quantized,,1.5
9,5,3,245,245,34,rear,A,2.566,2.553,0.012,9.3,8.7,0.6,32.3,33.7,-1.4,8.7,32.3,33.7,-1.4,-66,keep,-1.4,-64.6,64.6,33.7,accept_keep_quantized,,1.4
19,2,1,60,60,37,front,A,4.32,4.432,-0.111,-12,-9.3,-2.8,19.4,20.7,-1.4,-9.3,19.4,20.7,-1.4,-40.1,keep,-1.4,-38.7,38.7,20.7,accept_keep_quantized,,1.4
21,2,3,265,265,43,front,A,1.396,1.437,-0.041,28.5,27.8,0.7,-58.6,-57.2,-1.4,27.8,-58.6,-57.2,-1.4,115.9,keep,-1.4,-114.4,114.4,-57.2,accept_keep_quantized,,1.4
26,7,3,250,250,32,rear,A,2.552,2.512,0.041,10.9,12.4,-1.5,31,32.4,-1.4,12.4,31,32.4,-1.4,-63.3,keep,-1.4,-61.9,61.9,,reject_edge,,1.4
24,7,1,25,25,31,front,A,4.061,4.176,-0.115,-19.8,-20.5,0.7,43.1,44.5,-1.3,-20.5,43.1,44.5,-1.3,-87.6,keep,-1.3,-86.3,86.3,44.5,accept_keep_quantized,,1.3
10,5,2,115,115,40,front,A,4.521,4.616,-0.095,-24.1,-29.9,5.8,36.2,35.1,1.1,-29.9,36.2,35.1,1.1,-71.3,keep,1.1,-70.2,70.2,35.1,accept_keep_quantized,,1.1
19,2,1,60,60,38,front,A,4.17,4.189,-0.018,-21.8,-21.7,-0.2,9.5,8.3,1.1,-21.7,9.5,8.3,1.1,-17.8,keep,1.1,-16.7,16.7,8.3,accept_keep_quantized,,1.1
17,3,3,265,265,45,front,A,3.076,3.136,-0.061,17.5,19.9,-2.4,23.8,24.9,-1.1,19.9,23.8,24.9,-1.1,-48.7,keep,-1.1,-47.6,47.6,24.9,accept_keep_quantized,,1.1
29,8,1,40,40,56,front,A,2.803,2.852,-0.049,-0.3,3,-3.3,-36,-37,1,3,-36,-37,1,73,keep,1,-72,72,-37,accept_keep_quantized,,1
25,7,2,60,60,49,rear,A,2.374,2.372,0.002,8.6,9.3,-0.7,38.3,39.3,-1,9.3,38.3,39.3,-1,-77.6,keep,-1,-76.6,76.6,39.3,accept_keep_quantized,,1
14,4,3,250,250,47,front,A,2.828,2.877,-0.049,-14.4,-11.9,-2.4,8.9,8.1,0.9,-11.9,8.9,8.1,0.9,-17,keep,0.9,-16.2,16.2,8.1,accept_keep_quantized,,0.9
5,8,4,310,310,33,rear,A,1.195,1.256,-0.061,12.4,14.6,-2.2,-26.3,-25.4,-0.9,14.6,-26.3,-25.4,-0.9,51.7,keep,-0.9,-50.8,50.8,,reject_edge,,0.9
29,8,1,40,40,57,front,A,3.507,3.556,-0.048,-13.2,-10.2,-3.1,-49.4,-50.2,0.8,-10.2,-49.4,-50.2,0.8,99.6,keep,0.8,-98.8,98.8,-50.2,accept_keep_quantized,,0.8
1,9,1,45,45,55,front,A,1.455,1.458,-0.003,15.7,16.5,-0.8,-29.3,-28.5,-0.8,16.5,-29.3,-28.5,-0.8,57.8,keep,-0.8,-57,57,-28.5,accept_keep_quantized,,0.8
13,4,2,65,65,36,front,A,2.643,2.722,-0.079,-15,-14.1,-0.9,10.2,10.9,-0.7,-14.1,10.2,10.9,-0.7,-21.1,keep,-0.7,-20.3,20.3,10.9,accept_keep_quantized,,0.7
5,8,4,310,310,34,rear,A,1.868,1.883,-0.015,-17.2,-12.9,-4.2,-53.6,-52.9,-0.6,-12.9,-53.6,-52.9,-0.6,106.5,keep,-0.6,-105.9,105.9,,reject_edge,,0.6
16,3,4,280,280,38,rear,A,1.096,1.173,-0.076,-6.5,-7.5,1.1,-18.1,-17.5,-0.6,-7.5,-18.1,-17.5,-0.6,35.6,keep,-0.6,-35,35,-17.5,accept_keep_quantized,,0.6
28,8,2,110,110,35,front,A,3.909,4.007,-0.098,-20.1,-18.4,-1.7,-39,-38.4,-0.6,-18.4,-39,-38.4,-0.6,77.4,keep,-0.6,-76.8,76.8,-38.4,accept_keep_quantized,,0.6
12,4,1,115,115,38,front,A,4.225,4.354,-0.13,9.5,7,2.4,18.5,-18,36.4,7,18.5,-18,36.4,-0.5,flip,-0.5,35.9,35.9,-18,accept_flip_quantized,,0.5
22,2,4,290,290,48,front,A,4.4,4.59,-0.189,-14.2,-13,-1.2,32.6,-33,65.6,-13,32.6,-33,65.6,0.4,flip,0.4,65.2,65.2,-33,accept_flip_quantized,,0.4
2,9,2,85,85,31,front,A,2.132,2.177,-0.045,20.5,21.5,-1,26.1,26.5,-0.4,21.5,26.1,26.5,-0.4,-52.6,keep,-0.4,-52.2,52.2,26.5,accept_keep_quantized,,0.4
10,5,2,115,115,38,front,A,3.837,3.919,-0.082,-10,-11.7,1.7,-37.1,-36.7,-0.4,-11.7,-37.1,-36.7,-0.4,73.8,keep,-0.4,-73.4,73.4,-36.7,accept_keep_quantized,,0.4
27,8,3,250,250,51,front,A,2.504,2.563,-0.06,-14.3,-9.1,-5.1,10.5,10.9,-0.4,-9.1,10.5,10.9,-0.4,-21.4,keep,-0.4,-21,21,10.9,accept_keep_quantized,,0.4
27,8,3,250,250,58,rear,A,2.223,2.212,0.011,19.4,22.9,-3.5,-47.4,-47.1,-0.4,22.9,-47.4,-47.1,-0.4,94.5,keep,-0.4,-94.1,94.1,,reject_edge,,0.4
26,7,3,250,250,48,front,A,3.675,3.764,-0.089,18.2,20.8,-2.6,-41.2,40.8,-82,20.8,-41.2,40.8,-82,0.4,flip,0.4,81.7,81.7,40.8,accept_flip_quantized,,0.4
22,2,4,290,290,39,rear,A,1.12,1.162,-0.042,5.8,4.9,0.9,-15.5,-15.1,-0.3,4.9,-15.5,-15.1,-0.3,30.6,keep,-0.3,-30.3,30.3,-15.1,accept_keep_quantized,,0.3
12,4,1,115,115,40,front,A,4.405,4.589,-0.184,-10.8,-12.2,1.5,-52.4,52.8,-105.2,-12.2,-52.4,52.8,-105.2,-0.3,flip,-0.3,104.9,104.9,52.8,accept_flip_quantized,,0.3
22,2,4,290,290,47,front,A,4.079,4.152,-0.073,-3.7,-2,-1.6,-21.8,-22,0.2,-2,-21.8,-22,0.2,43.9,keep,0.2,-43.7,43.7,-22,accept_keep_quantized,,0.2
25,7,2,60,60,58,front,A,3.598,3.641,-0.043,11.3,13.5,-2.2,-46.4,-46.5,0.2,13.5,-46.4,-46.5,0.2,92.9,keep,0.2,-92.7,92.7,-46.5,accept_keep_quantized,,0.2
4,9,4,245,245,50,front,A,4.377,4.474,-0.097,7.7,10.1,-2.4,-35.2,35.1,-70.3,10.1,-35.2,35.1,-70.3,0.2,flip,0.2,70.1,70.1,35.1,accept_flip_quantized,,0.2
22,2,4,290,290,46,front,A,3.814,3.896,-0.082,10.5,11,-0.5,8.9,-9,17.9,11,8.9,-9,17.9,0.1,flip,0.1,17.8,17.8,-9,accept_flip_quantized,,0.1
15,4,4,220,220,43,front,A,3.518,3.532,-0.014,0.7,0.9,-0.2,-39.2,-39.1,-0.1,0.9,-39.2,-39.1,-0.1,78.3,keep,-0.1,-78.2,78.2,-39.1,accept_keep_quantized,,0.1
24,7,1,25,25,56,front,A,3.638,3.699,-0.06,-4.2,-2.8,-1.3,-27.9,-27.8,-0.1,-2.8,-27.9,-27.8,-0.1,55.8,keep,-0.1,-55.7,55.7,-27.8,accept_keep_quantized,,0.1
28,8,2,110,110,34,front,A,3.412,3.494,-0.082,-9.8,-6,-3.8,-26.1,-26,-0.1,-6,-26.1,-26,-0.1,52.1,keep,-0.1,-52,52,-26,accept_keep_quantized,,0.1
3,9,3,295,295,32,rear,A,2.263,2.207,0.057,6.4,9.3,-2.9,-15.8,-15.7,0,9.3,-15.8,-15.7,0,31.5,keep,0,-31.5,31.5,-15.7,accept_keep_quantized,,0
6,7,4,295,295,53,front,A,4.638,4.661,-0.023,-13.7,-9.3,-4.4,-34.3,-34.3,0,-9.3,-34.3,-34.3,0,68.6,keep,0,-68.6,68.6,-34.3,accept_keep_quantized,,0
